Pathway,Total,Expected,Hits,P.Value,FDR,Genes
Androgen receptor signaling pathway,37,0.18,3,0.000731,0.268,BRCA1; HDAC1; HDAC6
Positive regulation of cellular metabolic process,1090,5.31,13,0.00113,0.268,MAPK10; BRCA1; HDAC1; ARAF; APP; NCOA7; SMPD1; MAP2K1; HDAC6; ELAVL1; CALCA; EIF4G3; PAOX
Cellular lipid catabolic process,102,0.496,4,0.00142,0.268,ACAD11; SMPD1; APOC3; PEX5
Intracellular receptor mediated signaling pathway,104,0.506,4,0.00153,0.268,BRCA1; HDAC1; APP; HDAC6
Positive regulation of cellular protein metabolic process,485,2.36,8,0.00185,0.268,MAPK10; BRCA1; ARAF; SMPD1; MAP2K1; ELAVL1; CALCA; EIF4G3
Positive regulation of metabolic process,1160,5.62,13,0.00196,0.268,MAPK10; BRCA1; HDAC1; ARAF; APP; NCOA7; SMPD1; MAP2K1; HDAC6; ELAVL1; CALCA; EIF4G3; PAOX
Intracellular steroid hormone receptor signaling pathway,57,0.277,3,0.00258,0.268,BRCA1; HDAC1; HDAC6
Positive regulation of protein metabolic process,524,2.55,8,0.00301,0.268,MAPK10; BRCA1; ARAF; SMPD1; MAP2K1; ELAVL1; CALCA; EIF4G3
Cellular biogenic amine metabolic process,62,0.302,3,0.00328,0.268,MTAP; SMPD1; PAOX
Feeding behavior,18,0.0876,2,0.00335,0.268,APP; CALCA
Positive regulation of protein modification process,423,2.06,7,0.00367,0.268,MAPK10; BRCA1; ARAF; SMPD1; MAP2K1; CALCA; EIF4G3
Lipid catabolic process,135,0.657,4,0.00395,0.268,ACAD11; SMPD1; APOC3; PEX5
Regulation of cellular protein metabolic process,816,3.97,10,0.00425,0.268,MAPK10; BRCA1; ARAF; APP; SMPD1; MAP2K1; HDAC6; ELAVL1; CALCA; EIF4G3
Smooth muscle contraction,22,0.107,2,0.005,0.28,MAP2K1; CALCA
Positive regulation of phosphate metabolic process,340,1.65,6,0.00538,0.28,MAPK10; ARAF; SMPD1; MAP2K1; CALCA; EIF4G3
Amine biosynthetic process,23,0.112,2,0.00546,0.28,MTAP; PAOX
Regulation of protein phosphorylation,460,2.24,7,0.00582,0.281,MAPK10; ARAF; APP; SMPD1; MAP2K1; CALCA; EIF4G3
Defense response,479,2.33,7,0.00725,0.33,MAPK10; TBKBP1; APP; MAP2K1; APOC3; CALCA; LSP1
Regulation of protein modification process,613,2.98,8,0.00783,0.338,MAPK10; BRCA1; ARAF; APP; SMPD1; MAP2K1; CALCA; EIF4G3
Regulation of phosphorylation,501,2.44,7,0.00921,0.366,MAPK10; ARAF; APP; SMPD1; MAP2K1; CALCA; EIF4G3
Regulation of protein metabolic process,912,4.44,10,0.00938,0.366,MAPK10; BRCA1; ARAF; APP; SMPD1; MAP2K1; HDAC6; ELAVL1; CALCA; EIF4G3
Microtubule_based movement,93,0.453,3,0.0101,0.378,APP; MAP2K1; HDAC6
Lipid homeostasis,33,0.161,2,0.011,0.394,LAMTOR1; APOC3
Regulation of muscle contraction,34,0.165,2,0.0117,0.394,MAP2K1; CALCA
Regulation of lipid metabolic process,99,0.482,3,0.012,0.394,BRCA1; LAMTOR1; APOC3
Negative regulation of cellular component organization,191,0.93,4,0.0132,0.4,BRCA1; HDAC6; APOC3; PEX5
Lipid transport,104,0.506,3,0.0137,0.4,LAMTOR1; OSBPL11; APOC3
Fatty acid metabolic process,195,0.949,4,0.0142,0.4,BRCA1; ACAD11; APOC3; PEX5
Cdc42 protein signal transduction,3,0.0146,1,0.0145,0.4,APOC3
Vacuole organization,39,0.19,2,0.0152,0.4,LAMTOR1; RAB33B
Positive regulation of translation,39,0.19,2,0.0152,0.4,ELAVL1; EIF4G3
Positive regulation of protein phosphorylation,309,1.5,5,0.0159,0.4,MAPK10; ARAF; MAP2K1; CALCA; EIF4G3
Regulation of MAP kinase activity,112,0.545,3,0.0167,0.4,MAPK10; SMPD1; MAP2K1
Response to steroid hormone stimulus,113,0.55,3,0.0171,0.4,BRCA1; MTAP; MAP2K1
Positive regulation of phosphorylation,316,1.54,5,0.0174,0.4,MAPK10; ARAF; MAP2K1; CALCA; EIF4G3
Activation of protein kinase activity,114,0.555,3,0.0175,0.4,MAPK10; MAP2K1; CALCA
Cellular lipid metabolic process,571,2.78,7,0.0181,0.401,BRCA1; LAMTOR1; ACAD11; SMPD1; APOC3; PEX5; PI4K2A
Negative regulation of cytoskeleton organization,46,0.224,2,0.0208,0.449,BRCA1; HDAC6
Organelle localization,124,0.604,3,0.0219,0.457,LAMTOR1; MAP2K1; HDAC6
Regulation of protein kinase activity,337,1.64,5,0.0223,0.457,MAPK10; APP; SMPD1; MAP2K1; CALCA
Amine metabolic process,126,0.613,3,0.0228,0.457,MTAP; SMPD1; PAOX
Regulation of MAPK cascade,232,1.13,4,0.0252,0.466,MAPK10; LAMTOR1; SMPD1; MAP2K1
Cytoskeleton_dependent intracellular transport,52,0.253,2,0.0262,0.466,APP; MAP2K1
Lipid metabolic process,761,3.7,8,0.0266,0.466,BRCA1; LAMTOR1; APP; ACAD11; SMPD1; APOC3; PEX5; PI4K2A
Activation of MAPK activity,53,0.258,2,0.0271,0.466,MAPK10; MAP2K1
Fatty acid beta_oxidation,53,0.258,2,0.0271,0.466,ACAD11; PEX5
Regulation of kinase activity,356,1.73,5,0.0275,0.466,MAPK10; APP; SMPD1; MAP2K1; CALCA
Response to endogenous stimulus,626,3.05,7,0.0285,0.466,BRCA1; HDAC1; LAMTOR1; MTAP; SMPD1; MAP2K1; APOC3
Activation of adenylate cyclase activity,6,0.0292,1,0.0289,0.466,CALCA
Steroid metabolic process,139,0.677,3,0.0294,0.466,LAMTOR1; APP; APOC3
Regulation of intracellular transport,141,0.686,3,0.0305,0.466,RAB33B; MAP2K1; CALCA
Innate immune response,248,1.21,4,0.0312,0.466,MAPK10; TBKBP1; APP; MAP2K1
Vesicle_mediated transport,638,3.11,7,0.0312,0.466,APP; RAB33B; MAP2K1; APOC3; CALCA; STXBP5; PI4K2A
Positive regulation of MAPK cascade,143,0.696,3,0.0317,0.466,MAPK10; LAMTOR1; MAP2K1
Regulation of transferase activity,370,1.8,5,0.0318,0.466,MAPK10; APP; SMPD1; MAP2K1; CALCA
Response to wounding,505,2.46,6,0.0329,0.466,HDAC1; APP; NMNAT1; MAP2K1; APOC3; CALCA
Synapse organization,59,0.287,2,0.0331,0.466,PDZRN3; APP
Response to oxidative stress,148,0.72,3,0.0345,0.466,APP; MAP2K1; HDAC6
Positive regulation of biological process,2350,11.5,17,0.0357,0.466,MAPK10; BRCA1; HDAC1; LAMTOR1; ARAF; APP; NCOA7; OSBPL11; SMPD1; MAP2K1; HDAC6; ELAVL1; CALCA; PEX5; EIF4G3; STXBP5; PAOX
Response to nutrient levels,150,0.73,3,0.0357,0.466,RAB33B; HDAC6; APOC3
Fatty acid biosynthetic process,62,0.302,2,0.0363,0.466,BRCA1; APOC3
Receptor_mediated endocytosis,62,0.302,2,0.0363,0.466,APOC3; CALCA
Exocytosis,151,0.735,3,0.0363,0.466,APP; STXBP5; PI4K2A
Regulation of transport,517,2.52,6,0.0364,0.466,LAMTOR1; RAB33B; MAP2K1; APOC3; CALCA; STXBP5
