Pathway,Total,Expected,Hits,P.Value,FDR,Genes
Metabolism of polyamines,9,0.0232,2,0.000223,0.196,MTAP; PAOX
Disease,461,1.19,6,0.00075,0.196,HDAC1; APP; MAP2K1; HDAC6; APOC3; CALCA
Amyloids,18,0.0464,2,0.000937,0.196,APP; CALCA
Signal Transduction,520,1.34,6,0.00142,0.196,HDAC1; APP; MAP2K1; HDAC6; APOC3; CALCA
Prefoldin mediated transfer of substrate  to CCT/TriC,24,0.0618,2,0.00167,0.196,PFDN1; PFDN6
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,24,0.0618,2,0.00167,0.196,PFDN1; PFDN6
NOTCH1 Intracellular Domain Regulates Transcription,25,0.0644,2,0.00182,0.196,HDAC1; HDAC6
Metabolism,799,2.06,7,0.00255,0.196,MTAP; NMNAT1; ATP5F1E; SMPD1; APOC3; PAOX; PI4K2A
"Polyamines are oxidized to amines, aldehydes and H2O2 by PAOs",1,0.00258,1,0.00258,0.196,PAOX
Interconversion of polyamines,1,0.00258,1,0.00258,0.196,PAOX
Calcitonin-like ligand receptors,1,0.00258,1,0.00258,0.196,CALCA
Constitutive Signaling by NOTCH1 PEST Domain Mutants,30,0.0773,2,0.00261,0.196,HDAC1; HDAC6
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,30,0.0773,2,0.00261,0.196,HDAC1; HDAC6
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,33,0.085,2,0.00316,0.196,HDAC1; HDAC6
Signaling by NOTCH1 in Cancer,33,0.085,2,0.00316,0.196,HDAC1; HDAC6
Signaling by NOTCH1 PEST Domain Mutants in Cancer,33,0.085,2,0.00316,0.196,HDAC1; HDAC6
FBXW7 Mutants and NOTCH1 in Cancer,33,0.085,2,0.00316,0.196,HDAC1; HDAC6
Signaling by NOTCH1 HD Domain Mutants in Cancer,33,0.085,2,0.00316,0.196,HDAC1; HDAC6
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,33,0.085,2,0.00316,0.196,HDAC1; HDAC6
Signaling by NOTCH1,33,0.085,2,0.00316,0.196,HDAC1; HDAC6
GPCR ligand binding,35,0.0902,2,0.00355,0.203,APP; CALCA
Chaperonin-mediated protein folding,36,0.0928,2,0.00375,0.203,PFDN1; PFDN6
MAP kinase activation in TLR cascade,36,0.0928,2,0.00375,0.203,MAPK10; MAP2K1
Protein folding,40,0.103,2,0.00462,0.221,PFDN1; PFDN6
Signaling by GPCR,136,0.35,3,0.00476,0.221,APP; MAP2K1; CALCA
TRAF6 Mediated Induction of proinflammatory cytokines,42,0.108,2,0.00508,0.221,MAPK10; MAP2K1
ERK1 activation,2,0.00515,1,0.00515,0.221,MAP2K1
Signaling by NOTCH,45,0.116,2,0.00582,0.221,HDAC1; HDAC6
MyD88:Mal cascade initiated on plasma membrane,49,0.126,2,0.00687,0.221,MAPK10; MAP2K1
Toll Like Receptor 10 (TLR10) Cascade,49,0.126,2,0.00687,0.221,MAPK10; MAP2K1
Toll Like Receptor 5 (TLR5) Cascade,49,0.126,2,0.00687,0.221,MAPK10; MAP2K1
Toll Like Receptor TLR1:TLR2 Cascade,49,0.126,2,0.00687,0.221,MAPK10; MAP2K1
Toll Like Receptor TLR6:TLR2 Cascade,49,0.126,2,0.00687,0.221,MAPK10; MAP2K1
Toll Like Receptor 2 (TLR2) Cascade,49,0.126,2,0.00687,0.221,MAPK10; MAP2K1
MyD88 cascade initiated on plasma membrane,49,0.126,2,0.00687,0.221,MAPK10; MAP2K1
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,50,0.129,2,0.00714,0.221,MAPK10; MAP2K1
Toll Like Receptor 7/8 (TLR7/8) Cascade,51,0.131,2,0.00742,0.221,MAPK10; MAP2K1
MyD88 dependent cascade initiated on endosome,51,0.131,2,0.00742,0.221,MAPK10; MAP2K1
Toll Like Receptor 9 (TLR9) Cascade,52,0.134,2,0.00771,0.221,MAPK10; MAP2K1
TRIF-mediated TLR3/TLR4 signaling ,52,0.134,2,0.00771,0.221,MAPK10; MAP2K1
Amine Oxidase reactions,3,0.00773,1,0.00771,0.221,PAOX
p75NTR negatively regulates cell cycle via SC1,3,0.00773,1,0.00771,0.221,HDAC1
