"attributes","EntrezGeneSymbol","TargetFullName","importance"
"Q9HBM1","SPC25","Kinetochore protein Spc25",0.395532551948768
"O75347","TBCA","Tubulin-specific chaperone A",0.259023917788168
"P07196","NEFL","Neurofilament light polypeptide",0.211295288688999
"Q6UXK5","LRRN1","Leucine-rich repeat neuronal protein 1:Cytoplasmic domain",0.199978286806558
"Q99584","S100A13","Protein S100-A13",0.170340668559155
"Q92185","ST8SIA1","Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",0.160665097829475
"Q7Z5W3","BCDIN3D","Pre-miRNA 5'-monophosphate methyltransferase",0.158907307858778
"Q12778","FOXO1","Forkhead box protein O1A",0.149262252885374
"O43175","PHGDH","D-3-phosphoglycerate dehydrogenase",0.14011579570403
"O43264","ZW10","Centromere/kinetochore protein zw10 homolog",0.13065162705225
