"UniprotID","EntrezGeneSymbol","TargetFullName","ACME_fdr","ACME_est","ACME_ci_low","ACME_ci_up","ACME_p","ADE_est","ADE_p","prop_med","prop_ci_low","prop_ci_up","total_effect","total_effect_p"
"P07196","NEFL","Neurofilament light polypeptide",0,0.00974740543957013,0.00307806969304996,0.0138719497059912,0,-0.155038095597705,0,-0.0670889884889462,-0.0985108019695331,-0.0207570246393064,-0.145290690158134,0
"Q7Z5W3","BCDIN3D","Pre-miRNA 5'-monophosphate methyltransferase",0,0.0157597106970881,0.0067381179139647,0.0289736143348818,0,-0.256461186555641,0,-0.0654740925076389,-0.129406814459774,-0.0280527497341602,-0.240701475858553,0
"Q9BTE7","DCUN1D5","DCN1-like protein 5",0,0.00718648991498483,0.00247241321728517,0.0133253510133622,0,-0.0905885174809691,0,-0.0861668489929598,-0.168157072203437,-0.0285485390634609,-0.0834020275659842,0
"Q14681","KCTD2","BTB/POZ domain-containing protein KCTD2",0,0.0152329426076418,0.00579410346570262,0.0273190683979465,0,-0.0905672412694702,0,-0.202204611687189,-0.431769834681379,-0.0736174628351999,-0.0753342986618284,0
"Q16619","CTF1","Cardiotrophin-1",0.0122857142857143,0.00606762627080466,0.00182677467557613,0.0118934767295345,0.002,0.108367670451265,0,0.0530223317858051,0.0168319519067697,0.102118965010437,0.11443529672207,0
"Q92185","ST8SIA1","Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",0.0122857142857143,0.00437505577606675,0.00156679806658856,0.00959502603555523,0.002,-0.0996184086319687,0,-0.0459355497772739,-0.106936059364385,-0.0157070359985278,-0.095243352855902,0
"O14683","TP53I11","Tumor protein p53-inducible protein 11",0.0122857142857143,0.0175726060519856,0.00495085084591337,0.0310780839271101,0.002,-0.18945474998904,0,-0.102236367603262,-0.195883099209857,-0.0273550918637555,-0.171882143937055,0
"Q13490","BIRC2","Baculoviral IAP repeat-containing protein 2",0.043,-0.00758057854384322,-0.0134147273132591,-0.00211441961590245,0.008,-0.0362178658203226,0,0.17307871669628,0.044813001220768,0.377018888588349,-0.0437984443641658,0
"P32320","CDA","Cytidine deaminase",0.0477777777777778,0.00765730428288245,0.00143388617839549,0.0131874775683256,0.01,-0.078719490723423,0,-0.107754977245029,-0.201086283274333,-0.0185765000952986,-0.0710621864405405,0
"P09913","IFIT2","Interferon-induced protein with tetratricopeptide repeats 2",0.0516,0.00732040351137927,0.0014815056958931,0.0158231017813341,0.012,-0.0518557194887952,0,-0.164373000409192,-0.695284391335265,-0.0256838454764166,-0.0445353159774159,0
"P08727","KRT19","Keratin, type I cytoskeletal 19",0.0781818181818182,0.00513503876035804,0.000722384669928365,0.0105167314169734,0.02,-0.0576740137968165,0,-0.0977377034248323,-0.228647627828918,-0.0130596061114745,-0.0525389750364585,0
