"UniprotID","EntrezGeneSymbol","TargetFullName","ACME_fdr","ACME_est","ACME_ci_low","ACME_ci_up","ACME_p","ADE_est","ADE_p","prop_med","prop_ci_low","prop_ci_up","total_effect","total_effect_p"
"P07196","NEFL","Neurofilament light polypeptide",0,-0.101822795544097,-0.14993301395144,-0.0534368728293778,0,0.335014571365369,0,-0.43664831311263,-0.803729794295964,-0.215773574294326,0.233191775821272,0
"Q16619","CTF1","Cardiotrophin-1",0,0.0728393526561924,0.0211779608262549,0.126660958454617,0,0.153857078046517,0.002,0.321307893690281,0.0991073912395885,0.622725902322507,0.226696430702709,0
"Q7Z5W3","BCDIN3D","Pre-miRNA 5'-monophosphate methyltransferase",0,-0.0906651575970097,-0.130586133494114,-0.0465850408905,0,0.320462244258186,0,-0.394544417052122,-0.715640273344854,-0.19247556428136,0.229797086661176,0
"Q9BTE7","DCUN1D5","DCN1-like protein 5",0,-0.0533490633285292,-0.0844612922801546,-0.0245427210787589,0,0.284050744779659,0,-0.231246963580671,-0.444782681778276,-0.0981823041678951,0.23070168145113,0
"Q14681","KCTD2","BTB/POZ domain-containing protein KCTD2",0,-0.026712280623238,-0.0490516819676734,-0.0104698587557863,0,0.256774441007158,0,-0.116108970630639,-0.268381052389736,-0.0414115094090829,0.23006216038392,0
"O14683","TP53I11","Tumor protein p53-inducible protein 11",0.0143333333333333,-0.046210549763295,-0.0756988194471623,-0.0182538175658227,0.002,0.274000773403273,0,-0.202864499735207,-0.396507065245225,-0.0798101700667165,0.227790223639978,0
"Q92185","ST8SIA1","Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",0.0245714285714286,-0.0723561405246671,-0.112340396867909,-0.0310557990127567,0.004,0.300368446803356,0,-0.317334365436529,-0.631781998600981,-0.127360380103378,0.228012306278688,0
"P09913","IFIT2","Interferon-induced protein with tetratricopeptide repeats 2",0.043,-0.0157034311906885,-0.0299458747313681,-0.00372016188264924,0.008,0.245540140342799,0,-0.0683242953165312,-0.156324767792367,-0.0151013332031897,0.229836709152111,0
"Q13490","BIRC2","Baculoviral IAP repeat-containing protein 2",0.0573333333333333,0.0185825123713585,0.00505973259435324,0.0366768985838302,0.012,0.209146757151455,0,0.081599139233602,0.0224167013466592,0.177606436999457,0.227729269522813,0
"P32320","CDA","Cytidine deaminase",0.0602,-0.0274223543577114,-0.0526937282041585,-0.00552780706831211,0.014,0.256515282822217,0,-0.119699698028698,-0.272034329488275,-0.0273582690022987,0.229092928464506,0
"P08727","KRT19","Keratin, type I cytoskeletal 19",0.0781818181818182,-0.0260496805118232,-0.0497020875660918,-0.00495215368133268,0.02,0.25628799939662,0,-0.113142245991023,-0.254168844246496,-0.020562952299087,0.230238318884797,0
"Q99584","S100A13","Protein S100-A13",0.086,-0.0610660648490407,-0.113025538539724,-0.00760152690255981,0.024,0.290181113717019,0,-0.266530134754389,-0.577549057809359,-0.0303767957018625,0.229115048867978,0
"O75347","TBCA","Tubulin-specific chaperone A",0.0982857142857143,-0.0688726271605905,-0.12145910850601,-0.00875559690200536,0.032,0.299738687209418,0,-0.298322876675871,-0.594561460877949,-0.0356919342096713,0.230866060048827,0
"Q13572","ITPK1","Inositol-tetrakisphosphate 1-kinase",0.0982857142857143,-0.0323846086388333,-0.0601961905257491,-0.00376318704083683,0.03,0.263482470013971,0,-0.140133744406504,-0.306873053383422,-0.0164749577508091,0.231097861375138,0
"O43264","ZW10","Centromere/kinetochore protein zw10 homolog",0.155875,-0.041747069191516,-0.0893392835084785,0.00101872583531998,0.056,0.272515531378926,0,-0.180904569003076,-0.448994051784839,0.00303004537935354,0.23076846218741,0
"O00161","SNAP23","Synaptosomal-associated protein 23",0.155875,0.0158016779155324,-0.000608476686187987,0.0335439674928503,0.058,0.214223417507565,0,0.068695452061296,-0.00265042281567644,0.151976822657133,0.230025095423097,0
"Q9BPW9","DHRS9","Dehydrogenase/reductase SDR family member 9",0.157666666666667,0.0141688677239647,-0.000658628072626664,0.0345301075157651,0.066,0.215758106351017,0,0.0616233383706603,-0.00258106033653684,0.163038277123743,0.229926974074982,0
"P02741","CRP","C-reactive protein",0.157666666666667,-0.0136235096974979,-0.0326391587167534,0.000692451962058766,0.066,0.24377116507077,0,-0.0591946490847462,-0.166799491446288,0.00285611008682174,0.230147655373272,0
